title,nation,polarity,subjectivity
The Child in the Grave,Nordic,0.0701519841269841,0.47392539682539675
"How Googler and Gaggler, the Two Christmas Babies, Came Home with Monkey Wrenches",North American Native,0.027985739750445635,0.34560606060606064
Old Jackal and Young Baboon,South African,0.12168402232687965,0.4696934414791563
Snowflake,Slavic,0.12439603159111655,0.5043462632297584
The Coyote and the Blackbirds,North American Native,-0.041666666666666664,0.4166666666666667
The Prince and the Fakir,Indian,0.20905578339788866,0.4333570669096984
The Rich Brother and the Poor Brother,Portuguese,0.058899054676180916,0.5126463077489466
Raven and the Geese,North American Native,0.07056714119214118,0.4976839133089135
The Satin Surgeon,French,0.12943707007405097,0.5403801221852338
How the Speckled Hen Got Her Speckles,Brazilian,-0.06006510583433661,0.3854385144769759
What the Goodman Does is Always Right,Nordic,0.215588047628864,0.4793004265198146
The Brâhmaṇ Priest who became an Amildâr,Indian,0.12765603251222712,0.5238753527691581
"The Story of Jason Squiff and Why He Had a Popcorn Hat, Popcorn Mittens and Popcorn Shoes",North American Native,0.16869849813928758,0.44207630819472926
The Enchanted Watch,French,0.25293222980722985,0.594589144705424
The Tongue-Cut Sparrow,Japanese,0.1680481809242871,0.4600442477876107
Piggiebillah the Porcupine,Australian Ethnic,-0.026819923371647517,0.38342911877394636
Nightingale and the Rose,Irish,0.20474332788671043,0.5522263071895427
The Elves and Their Antics,Dutch,0.16151373812754402,0.4893670446468953
The Oni on His Travels,Dutch,0.10521928576474035,0.46812009329054793
"Lu-San, Daughter of Heaven",Chinese,0.09286479151897269,0.5318279736136883
The Hare and the Lion,Tanzanian,0.044835032755705835,0.4140846404307942
Nix's Mate,North American Native,0.0337632275132275,0.43571428571428567
The Belly and the Members,Greek,-0.09566666666666668,0.5255
The Enchanted Doe,Italian,0.13696042941732595,0.556591779867642
Soup from Sausage Skewer,Danish,0.16981576092989137,0.5190461907542654
Whittington and His Cat,English,0.11539919048217806,0.5134785615491012
Berkshire Tories,North American Native,0.07100088183421516,0.4356922398589065
The Mallet,Japanese,0.07036184077751063,0.5024511480013873
The Great Carbuncle,North American Native,0.12173333333333339,0.48493333333333327
The Werewolf,Swedish,0.13265447946175646,0.5133069157785871
Elder-tree Mother,Scandinavian,0.17003901993697923,0.4564747450206638
Cenerentola,Italian,0.15544974449109786,0.5286270871985159
The Spirit of a Buried Man,Polish,0.190055756479807,0.5466726943942132
The Darning-Needle,Nordic,0.1548756482791136,0.5447344020116295
The Necklace of Pearls,Portuguese,0.21598814853076206,0.5836776859504136
The White Deer at Onota,North American Native,0.12463383838383835,0.3461405723905724
The Horse Gullfaxi and the Sword Gunnfoder,Icelandic,0.12610536881419246,0.5018807033924686
King Robin,Portuguese,0.09839985994397757,0.4571253501400559
Why the Big Ball Game Between Hot Grounders and the Grand Standers Was a Hot Game,North American Native,0.09253472222222224,0.5468171296296295
The Demon's Dance,Polish,0.022002635046113304,0.5523621306230002
The Gardener and the Manor,Scandinavian,0.2800254433066934,0.5560936632811635
The Good Children,Russian,0.13071891233766234,0.4848613095238094
Jack and His Comrades,Celtic,0.07269847447073476,0.4372685761726859
Long Time,French,-0.04558129558129559,0.5304011154011155
The Pine-Gum Baby,North American Native,0.08927083333333334,0.44470238095238085
"The Ass, the Table and the Stick",English,0.0912875566893424,0.4531179138321994
The Woods and the Woodman,French,0.13861607142857144,0.5400793650793652
The Adventures of Wolf-Marked,North American Native,0.0693299641826428,0.4003920068027214
The Flies and the Honey-Pot,Greek,-0.1875,0.5
The Three Dogs,Swedish,0.20045116639443808,0.5676326590442692
The Shepherd,Italian,0.0,0.0
The Legend of Thorgunna,Scandinavian,0.04881304055832357,0.46739595135821566
The King of Huai Nan,Chinese,0.14305697278911564,0.40513605442176875
The Snoring of Swunkus,North American Native,0.09360119047619049,0.49107142857142855
Deh-A,North American Native,-0.008668539558370051,0.3860645475052256
The Six Swans,German,0.14103189192343601,0.478573762838469
The Goose with the Golden Eggs,Greek,0.0626984126984127,0.4027777777777778
Thun-Tsay and Cohn-Nah,North American Native,0.06993689041881809,0.4039391331560005
"The Brownie, or House Spirit",Czechoslovak,0.031123487478956234,0.5164175084175083
The Three Goldenhairs of Grandfather Allknow,Czechoslovak,0.14743419355738205,0.4758705237328426
Chocorua,North American Native,0.10326086956521738,0.4195652173913043
How Brock Brought Judgment on Loki,Nordic,0.21104832228249945,0.5549326903757287
The Story of Judas,Italian,0.045068027210884355,0.616921768707483
The Ship-Wrecked Man and the Sea,Greek,0.21000000000000002,0.53
The Frog and Lion Fairy,French,0.06102287311178681,0.5220741642616646
The Bear and the Travelers,Greek,0.019949494949494946,0.43914141414141405
Laotsze,Chinese,0.1420544733044733,0.44641955266955263
Gold-tree and Silver-tree,Celtic,0.20222523608599557,0.5445649989953787
The Butcher and His Customers,Greek,0.09583333333333333,0.5606481481481481
Three Boys With Jugs of Molasses and Secret Ambitions,North American Native,0.03502821002820999,0.424105924105924
The Great Sea Serpent,Nordic,0.07616355688694067,0.4634757808253512
The Hawk and the Hen,Philippine,0.17276942355889724,0.6001002506265664
The Sparrow and the Two Children,Armenian,0.12775602144866383,0.5007243319268636
The Wolf and the Lean Dog,French,0.17804621848739496,0.45207749766573296
The Spirit of the Steppes,Slavic,0.11810703560703559,0.5444904428237762
The Building of the Asgard Fort,Nordic,0.14177083333333335,0.4760763888888889
"Géha, The Friend of a Deserted Boy",North American Native,0.054888468013468,0.3430092592592591
The Three Fools,English,0.14120056497175143,0.46758474576271186
The Boy and the Filberts,Greek,0.038333333333333344,0.5316666666666666
"Hina, the Woman in the Moon",Hawaiian,0.12024711399711403,0.3983946608946609
The Lion and the Statue,Greek,0.2211309523809524,0.3419642857142857
The Farmer and the Money-Lender,Indian,0.026864907881633242,0.4807361339755706
The Old Woman and the Wine Jar,Greek,0.22767857142857142,0.48571428571428577
What Happened to the Thistle,Scandinavian,0.19681275613275623,0.4935451082251083
Anne Lisbeth,Danish,0.08277450514229354,0.5116072602611068
Clever Elsie,German,0.06547385620915032,0.44604575163398685
The Lady of the Fountain,Celtic,0.0965469503670439,0.4682508215218498
"The Legend of the Terrestrial Paradise of Sheddád, the Son of 'A'd",Arabic,0.15281887755102042,0.46548469387755087
The Wise Servant,German,0.1574447895100069,0.48373015873015884
The Fox Without a Tail,Greek,-0.020299145299145303,0.38632478632478634
The Mermaid of the Magdalenes,North American Native,0.10632428177882723,0.5431874754033843
Whirlwind and Panther,North American Native,-0.06449017615176149,0.42676151761517617
The Hart in the Ox-Stall,Greek,-0.007142857142857145,0.5785714285714285
The Little Omelet,Italian,0.21875,0.6145833333333334
Conal Yellowclaw,Celtic,0.11287083672500348,0.4770617679645457
White Corn and Her Sons Fire,North American Native,0.07942193854125669,0.43545634920634924
How Geirald the Coward Was Punished,Icelandic,0.13662984392151067,0.5271514288180956
The Red Slipper,Jewish,0.1460865275269249,0.574666031172654
The Pea Blossom,Scandinavian,0.046157407407407404,0.4862521043771042
Mansumandig,Philippine,0.27743840847499385,0.44127996664582025
The Fox and the Crows,North American Native,-0.00667517006802718,0.5769982993197278
The Girl Who Pretended to Be a Boy,Romanian,0.11117101727486718,0.4953344142127414
How Perseus Slew the Gorgon,Greek,0.0916873210266993,0.5539245900903936
The White Cat,French,0.18036799237715462,0.5877119522508656
The Hut in the Forest,Russian,0.08801818783068778,0.4003320105820106
The Shoes,Albanian,0.11557460768398263,0.3619122023809523
The Stranger-Child,German,0.24063762626262625,0.5807070707070708
The Death of Sigurd,Nordic,0.1831560283687943,0.552304964539007
The Witch-Cat,Scottish,-0.0852702191987906,0.46123393801965246
Black Bull of Norroway,Scottish,0.08979497354497344,0.3910502645502645
The Wolf and the Seven Little Kids,German,-0.0027939276485788073,0.410594315245478
A Chapter of Fish,Russian,0.034663495419309374,0.4299741602067185
The Wonderful Ring,Indian,0.18602987522929537,0.5287174452122908
The Thrush and the Fowler,Greek,0.37083333333333335,0.7166666666666667
Belling the Cat,Greek,0.028888888888888898,0.4911111111111111
Karma,Japanese,0.10696212121212116,0.5118344155844157
Flame Scalps of the Chartiers,North American Native,0.12217851592851593,0.4178418803418804
The Dollar Watch and the Five Jack Rabbits,North American Native,0.03937670625170625,0.4412769587769587
Odin Faces an Evil Man,Nordic,0.010665277777777739,0.5575936507936506
The Queen of Heaven,Chinese,0.18155581791945427,0.43966417420962883
The Cloud,Italian,0.08978346925891567,0.4118225623582766
The Wicked Prince,Danish,0.12403509527089075,0.5766164075823167
"Yang Yang and Hoo Hoo, or the Song of the Left Foot of the Shadow of the Goose in Oklahoma",North American Native,0.019883610541505285,0.3211821219715957
The Dove and the Ant,French,-0.25625,0.54375
Fundevogel,German,0.1486371527777777,0.4523032407407406
The Faithful Prince,Indian,0.20315258742136233,0.5442192535176731
The Black Thief and Knight of the Glen,Celtic,0.12651624017008636,0.5200273551235092
The Story of Prince Ahmed and the Fairy Paribanou,Arabic,0.15527112377998192,0.512081094029913
The Man and the Serpent,Greek,0.42857142857142855,0.5433862433862434
The Boy Who Was Called Thick-Head,North American Native,0.1529453262786596,0.5134203409758965
The Golden Ball,English,0.16026872737399048,0.5494012809802283
The Language of the Birds,Russian,0.136657754358574,0.5704577803799116
The Pied Piper,English,0.10429147465437785,0.44627643861514826
The Fir-tree and the Bramble,Greek,0.15873015873015875,0.3603174603174603
The Hammer of Thor,Scandinavian,0.1975893387658094,0.5713209829386299
Ellen's Luck,Welsh,0.2928571428571428,0.5607142857142857
The Mount of the Golden Queen,Swedish,0.16014425139425137,0.5040610253110253
Batcha and the Dragon: The Story of a Shepherd Who Slept All Winter,Czechoslovak,0.06885340354090351,0.478791971916972
The Fisherman of Shetland,Scottish,0.26193733712390427,0.455217957829898
The Castle of Life,Italian,0.1487663151119034,0.507220015822957
The Fox and the Turkeys,French,0.15064102564102563,0.5057692307692307
The Twins,Armenian,0.1488539831190586,0.4880377537035828
The Shepherdess and the Chimney Sweep,Danish,0.0963063946489361,0.45673969370102
The Drummer,German,0.12307367783636583,0.47370718462823774
The Bee-Keeper,Greek,0.11196428571428571,0.3855753968253968
Rainbow and the Autumn Leaves,North American Native,0.1727566137566138,0.5395454545454544
The Blinded Giant,English,0.03823412698412699,0.6120214752567693
The Eagle and the Arrow,Greek,0.012698412698412685,0.6396825396825397
Why the Chipmunk's Back is Striped,North American Native,0.11722133095662515,0.4969475002122062
Youth Without Age and Life Without Death,Romanian,0.180755026653787,0.5306377231583844
The Fawn and His Mother,Greek,0.2547619047619048,0.6047619047619047
The Mistaken Gifts,Philippine,0.32731481481481484,0.6018518518518519
Mr. Coyote and the Two Pretty Girls,North American Native,0.2716049382716049,0.4506172839506173
Soria Moria Castle,Norwegian,0.1457492330562801,0.49730774352418655
Owl with the Great Head and Eyes,Canadian Native,0.08956152860449733,0.5231725363756615
The Golden Spinning-Wheel: The Story of King Dobromil and the Good Dobrunka,Czechoslovak,0.17175152345046718,0.49144292522813643
The New Haven Storm Ship,North American Native,0.01292345220916649,0.43033566962138387
Rubezahl,German,0.17481783362293796,0.5463946056521464
The Two Caskets,Scandinavian,0.059117033677984085,0.4470993484629848
The Charger and the Miller,Greek,-0.15,0.25
The Fair Fiorita,Italian,0.29275729646697396,0.5347619047619051
The Treasure,Italian,0.05238095238095238,0.3857142857142857
"The Woman, the Ape, and the Child",Nigerian,0.047099206349206356,0.4034126984126984
The Envious Coyote,North American Native,0.028430103035366187,0.40262322472848766
The Goloshes of Fortune,Nordic,0.1381382733481834,0.5330731436959807
The Three Little Pigs (Andrew Lang Version),English,0.08628048340548343,0.5289223935786437
The Gray Champion,North American Native,-0.04034829679776489,0.351611863313991
The Cunning Fox,French,0.31113636363636366,0.4936688311688311
The Fairies (also known as Diamonds and Toads),French,0.18405677655677652,0.6261355311355312
The Goose-Girl,German,0.06257621951219501,0.5350500871080142
The Adventures of John Dietrich,Scandinavian,0.15881963806751928,0.5046282708712084
The Wonderful Mango Fruit,Indian,0.12249947207264276,0.4551935733643051
The Golden Key,German,0.03968253968253968,0.6218253968253968
The Children of Loki,Nordic,0.10441735885397857,0.5681268809437823
The Ass Dressed in Lion's Skin,French,-0.20000000000000004,0.6666666666666666
The Betrothed of Destiny,Armenian,0.24604101637068673,0.5577940527116351
The Bones of Djulung,English,0.1017134407989671,0.47998496240601485
The Nightingale,Danish,0.15374954066349125,0.5587385314462678
Nennillo and Nennella,Italian,0.15460186278368102,0.5714516594516594
The Rose,German,0.2966145833333333,0.6338541666666667
The Eagle and the Jackdaw,Greek,0.06123866213151926,0.5611678004535148
Binnorie,English,0.15089480874316935,0.577814207650273
Why the Night Hawk's Wings are Beautiful,North American Native,0.08881257631257632,0.5059065934065935
The Tsar and the Angel,Ukrainian,0.07968723808668576,0.4711860974274768
Jack and His Wonderful Hen,North American Native,0.16565813983995806,0.47763997113997114
The Goose Girl,German,0.05119435493495634,0.4937716314596016
The Sparrow and the Crow,Indian,0.2220202664399093,0.5777636054421768
"Ole-Luk-Oie, the dream god",Danish,0.15450683931453166,0.5336549668280435
The Monkey and the Dolphin,Greek,0.15009920634920634,0.2524867724867725
The Blue Bird,French,0.12320136612927009,0.5689575395260265
Story of Little Simpleton,Russian,0.07710319792755137,0.49801587301587313
The Escape of the Mouse,Celtic,0.15890684607789865,0.49972525646867744
How Night Came,Brazilian,0.23912601197503797,0.5418058132343845
The Four Clever Brothers,German,0.18452892416225758,0.4654543209876542
The Unmannerly Tiger,Korean,0.05427372685185184,0.524646164021164
The Bear and the Dervish,Albanian,0.03799585718940558,0.41439137923008895
The Marvellous Musician,German,0.08058791035353534,0.48743596681096696
The Fish-Peri,Turkish,0.11308922558922557,0.520117845117845
The Hound and the Hare,Greek,0.134375,0.2791666666666667
There is a Difference,Danish,0.10490873087026933,0.548529087247036
The Raspberry Worm,Finnish,0.13036670346010887,0.5113464830376598
The Poisoned Food,Indian,0.15217206790123453,0.4734645061728394
Brother and Sister,German,0.05835223003492234,0.4926345449422373
The Golden Fish,Russian,0.08758622438897026,0.38756835970708836
The Magic Ring,English,0.10342298388786,0.4805441642838337
The Child of Thunder,Japanese,0.11692510524984749,0.4912876556433257
The Wise Judgment,Czechoslovak,0.1616085979846485,0.5044003510495112
The Cruel Tribute,Greek,0.049889444301573015,0.5022163287757347
"The Tiger, the Brahman and the Jackal",Indian,-0.1437939877208745,0.5270095837076968
The Fenris-Wolf,Nordic,0.04692322530864198,0.565432098765432
Poker Face the Baboon and Hot Dog the Tiger,North American Native,-0.01591327352196918,0.43320105820105836
The Nickerman's Wife: The Story of Lidushka and the Imprisoned Doves,Czechoslovak,0.11994405953669345,0.4947154903628118
The Thunder Boy,North American Native,0.05289831552331552,0.42587959387959373
Yallery Brown,English,0.14917290103826925,0.5215916503587741
Clever Hans,German,0.3785370879120877,0.5619505494505498
Ole the Tower-Keeper,Nordic,0.1905348598371327,0.5022445170990623
The Wicked Wood-Fays,Czechoslovak,0.10012709087964186,0.4941124068675091
Why a Hawk Kills Chickens,Nigerian,0.06226297726297726,0.46524667524667523
How the Tortoise Overcame the Elephant and the Hippopotamus,Nigerian,0.08355802927231497,0.4196145124716553
"Deereeree the Wagtail, and the Rainbow",Australian Ethnic,0.07744503303713829,0.5763784461152882
The Story of the Beginning,Nordic,0.19939061669324837,0.5611027568922305
Great Heart and the Three Tests,North American Native,0.30761704724974853,0.5463684919609092
The Good Ferryman and the Water Nymphs,Polish,0.1947164479617605,0.5124129581529584
The Quack Doctor,Greek,-0.13342532467532467,0.5044246031746032
"Rattle-Rattle-Rattle and Chink-Chink-Chink: The Story of Long Beard, the Dwarf, and the Two Sisters",Czechoslovak,0.1223451160767337,0.48045403615991883
Pigling and Her Proud Sister,Korean,0.1689890900345446,0.5206500940137305
Lazy Harry,German,0.06827619047619045,0.4993539682539682
What the Moon Saw,Scandinavian,0.07603682110666188,0.47221149115521
The Snow Queen,Scandinavian,0.09366827496845596,0.5104260015615084
Punchkin,Indian,0.0681198860663147,0.5469503908789627
The Story of Appayya,Indian,0.11664240986734647,0.4456767457021264
Retaliation,Indian,0.1281646249731356,0.38766821240225496
The Flood,Greek,0.07850230016896682,0.5388795155461822
Ohnivak,Slavic,0.12466820738829765,0.4747546903811014
The Wolf and the Kid,Greek,0.3597222222222222,0.6027777777777779
The Head and the Tail of the Serpent,French,0.07562500000000003,0.4843750000000001
The Frogs’ Complaint Against the Sun,Greek,-0.29928571428571427,0.38285714285714284
Spider's Creation,North American Native,0.11315053520277402,0.415951519458982
The Goblin of Adachigahara,Japanese,-0.006907527657527637,0.5010043290043295
Wirreenun the Rainmaker,Australian Ethnic,0.052765942634363676,0.4320984619668828
The Princess Kwan-Yin,Chinese,0.1425927390510725,0.5520912266745599
Ermine and the Hunter,Canadian Native,0.04938858521928141,0.4399737885180924
Donkey Cabbages,German,0.114735251450677,0.48838410702772456
"The Master Cat, or Puss in Boots",French,0.1591445707070707,0.531082702020202
When Wheat Worked Woe,Dutch,0.12135518617855583,0.5449941966246314
The Dracae,Scottish,0.050166666666666665,0.4643333333333334
The Boy and the Filberts,Greek,0.03306878306878307,0.44669312169312164
The Golden Goose,German,0.08018213421105982,0.45438952691018797
The Story of Benito,Philippine,0.11822934910721172,0.5404277507903463
How the Goldfinch Got His Colours,Belgian,0.2100198412698413,0.5674603174603174
The Enchanted Snake,Italian,0.17618563642078497,0.5285224236709389
The Red Etin,English,0.08408038720538719,0.47149470899470886
Oraggio and Bianchinetta,Italian,0.17210784313725488,0.5820588235294119
Dapplegrim,Norwegian,0.09965683687381799,0.4413264963547986
Sunshine Stories,Nordic,0.11562552213868,0.5530451127819549
The Peacock and the Crane,Greek,0.2,0.7
The Cake Shop on the Wooden Bridge,Chinese,0.18910683943650974,0.48191881988585283
Jack of Sjoholm and the Gann-Finn,Scandinavian,0.07954795283248438,0.4590962936722228
Ituen and the King's Wife,Nigerian,0.09952284946236559,0.49787634408602155
Scissors They Were,Italian,-0.060821759259259284,0.5399691358024692
A Tale of the Dead,Russian,0.03610706580366775,0.4806179688703963
The Three Billy-Goats Gruff,Norwegian,-0.014112903225806448,0.38091397849462366
The Wolf and the Fox,German,-0.011170212765957447,0.5675531914893617
The Boy Hunting Locusts,Greek,0.875,0.6000000000000001
The Unicorn,German,0.08772024142916371,0.5035184541606804
The Flea,Italian,0.040313865001364996,0.5477210814710816
The King's Magic Drum,Nigerian,0.06679433814049193,0.5215071253532794
The Golden Lion,Italian,0.10069148097273094,0.45363909238909245
Don Giovanni de la Fortuna,Italian,0.08841932340764118,0.5372960243287347
Brunhilda,German,0.19868603042876912,0.5637448132780093
The Heron,French,0.1652056277056277,0.45736832611832606
A Chestnut Log,North American Native,0.13172348484848487,0.4549347643097644
The History of the Spectre Ship,Arabic,0.03736832249342296,0.45942129146309224
Strong Desire and the Red Sorcerer,North American Native,0.1665896115303229,0.4823240308220549
The Magic Egg,Ukrainian,0.10327247441505265,0.4486131760396471
The Frog Princess,Chinese,0.12164075421538115,0.517268071894938
Joan Gathers Guavas,Philippine,0.09549674036281178,0.33208616780045347
The Cat and the Cock,Greek,0.3,0.32166666666666666
The Eagles,Polish,0.13577814353856024,0.5318094135802467
The Cruel Stepmother,North American Native,0.03552152300314066,0.5277211718020542
The Cat and the Mice,Greek,-0.00888888888888889,0.6655555555555556
The Little Match Girl,Scandinavian,0.13272402461782165,0.5719100239776931
Stupid's Cries,English,0.1767008463541667,0.46527777777777773
How the Monkey Escaped Being Eaten,Brazilian,0.0063222958298715885,0.3037367907064878
The Good Bargain,German,0.09375669433659123,0.5506359619761684
The Woman Magician,North American Native,0.03554761904761905,0.421311111111111
The Shepherd and the Dragon,Serbian,0.07518647119341562,0.5001557907113462
The Phoenix Bird,Danish,0.14620731120731117,0.5144564694564696
Something,Scandinavian,0.07199351867073385,0.49410941847650736
Flower of the Peony,Japanese,0.20539348244348238,0.5062943241943242
"The Golden Beetle, Or Why the Dog Hates the Cat",Chinese,0.12290228095146505,0.5327731019664516
The Enchanted Castle in the Sea,Spanish,0.15166934231179582,0.5583476865923677
How Rabbit Deceived Fox,North American Native,0.07255931127318409,0.4463879184399416
Why the Fish Laughed,Indian,0.16004832927489188,0.4678838158369409
"The Story of Tremsin, the Bird Zhar, and Nastasia, the Lovely Maid of the Sea",Ukrainian,0.11921644088669948,0.4529570333880681
The Marsh King's Daughter,Scandinavian,0.13836331046322148,0.507893030747411
The Kid on the Housetop,Greek,-0.008333333333333331,0.5916666666666667
Fair Goldilocks,French,0.17241465677179982,0.5701825524902453
The Dragon's Blood,Nordic,0.08657178217821783,0.5125235737859499
Death's Messengers,German,0.06380187005187003,0.5698948948948948
Kŭt-o´-yis,North American Native,0.035684938355990944,0.39485108604845515
The Tree and the Reed,Greek,0.08333333333333333,0.5380952380952381
Mother Holle,German,0.11353535353535352,0.5708326118326119
The Jackal and the Partridge,Indian,0.13384646962233168,0.5177531472359058
Faithful John,German,0.2287031908723086,0.4929147214441338
The Traveler and Fortune,Greek,0.0993827160493827,0.4654320987654321
The Moose of Mount Kineo,North American Native,0.05822649572649573,0.336965811965812
Molly Whoppie,English,0.09215768799102136,0.584287317620651
How the Moon Was Made,Maori,0.11334287181744808,0.4967697556680609
